{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf600
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl280\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 34, Private, 287315, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
43, Federal-gov, 145175, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 42, United-States, >50K\
45, Local-gov, 33798, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
23, Private, 180497, Bachelors, 13, Never-married, Tech-support, Own-child, Black, Female, 0, 0, 32, United-States, <=50K\
65, Self-emp-not-inc, 145628, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
50, Private, 169646, Bachelors, 13, Separated, Prof-specialty, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, <=50K\
18, Private, 418176, Some-college, 10, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K\
39, Private, 179671, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
62, Local-gov, 68268, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K\
32, Self-emp-inc, 191385, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 77, United-States, <=50K\
26, Private, 464552, 9th, 5, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 45, Mexico, <=50K\
29, Private, 166210, HS-grad, 9, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 0, 50, United-States, <=50K\
17, Private, 193830, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
36, Self-emp-not-inc, 37778, Masters, 14, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 70, United-States, <=50K\
25, Private, 509866, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 78, United-States, <=50K\
35, Self-emp-not-inc, 112497, HS-grad, 9, Married-civ-spouse, Craft-repair, Other-relative, White, Male, 0, 0, 35, Ireland, <=50K\
23, Private, 220993, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K\
25, Private, 148300, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 35, United-States, <=50K\
34, State-gov, 334744, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 65, United-States, <=50K\
61, Private, 242552, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 37, Honduras, <=50K\
43, Private, 580591, 1st-4th, 2, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male, 0, 0, 28, Mexico, <=50K\
41, Private, 29762, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 52, United-States, >50K\
39, Private, 79586, Some-college, 10, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, 0, 0, 35, India, >50K\
67, Private, 397831, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1539, 40, United-States, <=50K\
34, Private, 260560, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, >50K\
71, Self-emp-not-inc, 157845, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 20, United-States, <=50K\
38, Local-gov, 196673, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 55, United-States, <=50K\
50, Local-gov, 183390, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K\
